key,enValue,enValid,frValue,frValid
timeslider.expand,Expand,1,Développer,1
timeslider.minimize,Minimize,1,Réduire,1
timeslider.play,Play,1,Lire,0
timeslider.pause,Pause,1,Pause,0
month.jan,January,1,Janvier,1
month.feb,February,1,Février,1
month.mar,March,1,Mars,1
month.apr,April,1,Avril,1
month.may,May,1,Mai,1
month.jun,June,1,Juin,1
month.jul,July,1,Juillet,1
month.aug,August,1,Août,1
month.sep,September,1,Septembre,1
month.oct,October,1,Octobre,1
month.nov,November,1,Novembre,1
month.dec,December,1,Décembre,1